old_url,new_url
/activities/you-ve-got-mail-it-can-wait,/act/relax/16/less-email-stress.html
/activities/switch-it-up-tooth-time,/act/discover/16/brush-teeth-hand.html
/activities/20-minute-treadmill-hill-walk,/act/move/15/treadmill-walk-incline.html
/activities/add-antioxidants-with-tasty-turmeric,/act/nourish/15/turmeric-antioxidant.html
/activities/add-beans-to-meals-and-snacks,/act/nourish/15/beans-brain-health.html
/activities/alphabetically-speaking-with-friends,/act/connect/16/word-games-thinking.html
/activities/better-your-brain-the-bilingual-way,/act/discover/16/second-language.html
/activities/boost-family-connections-and-conversation,/act/connect/15/family-bonding-brain.html
/activities/boost-your-flavonoids-with-fruit,/act/nourish/15/eat-fruit-dementia.html
/activities/build-momentum-by-building-yourself-up,/act/relax/16/motivation-self-esteem.html
/activities/calm-your-home-grow-luxurious-lavender,/act/discover/15/music-play-brain.html
/activities/change-it-up-with-chia,/act/nourish/16/chia-seeds-health.html
/activities/food-for-thought-chopsticks-boost-the-brain,/act/discover/16/chopsticks-benefits.html
/activities/clean-out-your-closet,/act/relax/16/organize-closet-stress.html
/activities/clear-and-calm-your-mind-to-sleep-better,/act/relax/15/mindfulness-sleep.html
/activities/come-to-the-dark-side,/act/relax/16/sleep-better-dark.html
/activities/create-a-fitness-goal-that-is-smart,/act/move/15/create-fitness-goal.html
/activities/cut-saturated-fat-try-nondairy-milk,/act/nourish/15/milk-alzheimers.html
/activities/daily-declutter-office-edition,/act/relax/16/declutter-office-stress.html
/activities/do-something-special-for-you-this-week,/act/discover/15/me-time-happiness.html
/activities/dream-on,/act/discover/16/dream-journal-benefit.html
/activities/eat-sulfur-rich-foods-boost-glutathione,/act/nourish/15/vegetables-diet-brain.html
/activities/enjoy-free-guided-meditations,/act/discover/15/meditation-stress.html
/activities/enrich-your-antioxidant-wealth,/act/nourish/15/antioxidant-foods.html
/activities/exercise-during-tv-commercials,/act/move/15/exercise-watching-tv.html
/activities/explore-a-rail-trail,/act/move/15/exercise-hiking-trails.html
/activities/fewer-options-more-time,/act/relax/16/downsize-clothes-stress.html
/activities/financial-literacy-makes-cents-and-dollars,/act/discover/16/money-brain-health.html
/activities/find-a-class-that-interests-you,/act/discover/15/learn-new-cognition.html
/activities/find-a-personal-trainer,/act/move/15/find-personal-trainer.html
/activities/fuel-your-brain-with-flaxseed,/act/nourish/16/flaxseed-fiber-diet.html
/activities/get-lost,/act/discover/16/directions-brain.html
/activities/get-stress-squared-away,/act/relax/16/breathing-exercise-calm.html
